ID_BB_GLOBAL,FIELD,VALUE,SOURCE,TSTAMP
BBG00KRL8RW6,ID_BB_UNIQUE,COAS3629704,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRL8RW6,ID_CUSIP,AS3629704,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRL8RW6,ID_ISIN,HK0000416609,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRL8RW6,ID_SEDOL1,BJGV5B5,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRL8RW6,NAME,MTR CORP CI LTD,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRL8RW6,TICKER,MTRC,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRMSZ63,ID_BB_UNIQUE,COAS3764410,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRMSZ63,ID_CUSIP,AS3764410,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRMSZ63,ID_ISIN,ARCILB560016,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRMSZ63,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRMSZ63,NAME,CILBRAKE SRL,corp_pfd.dif,2022-12-02 18:15:13
BBG00KRMSZ63,TICKER,CILBAR,corp_pfd.dif,2022-12-02 18:15:13
BBG00NZ74Q67,ID_BB_UNIQUE,COZS2774298,corp_pfd.dif,2022-12-02 18:15:13
BBG00NZ74Q67,ID_CUSIP,ZS2774298,corp_pfd.dif,2022-12-02 18:15:13
BBG00NZ74Q67,ID_ISIN,XS1989092116,corp_pfd.dif,2022-12-02 18:15:13
BBG00NZ74Q67,ID_SEDOL1,BJK3NS0,corp_pfd.dif,2022-12-02 18:15:13
BBG00NZ74Q67,NAME,REDCO PROPERTIES GROUP,corp_pfd.dif,2022-12-02 18:15:13
BBG00NZ74Q67,TICKER,REDPRO,corp_pfd.dif,2022-12-02 18:15:13
BBG00000F4P6,ID_BB_UNIQUE,CO4590568X8,corp_pfd.dif,2022-12-02 18:15:13
BBG00000F4P6,ID_CUSIP,4590568X8,corp_pfd.dif,2022-12-02 18:15:13
BBG00000F4P6,ID_ISIN,CA4590568X88,corp_pfd.dif,2022-12-02 18:15:13
BBG00000F4P6,ID_SEDOL1, ,corp_pfd.dif,2022-12-02 18:15:13
BBG00000F4P6,NAME,INTL BK RECON & DEVELOP,corp_pfd.dif,2022-12-02 18:15:13
BBG00000F4P6,TICKER,IBRD,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTFZR5,ID_BB_UNIQUE,COAF1220108,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTFZR5,ID_CUSIP,400489AH3,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTFZR5,ID_ISIN,US400489AH37,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTFZR5,ID_SEDOL1,BYY0995,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTFZR5,NAME,GRUPO POSADAS SAB CV,corp_pfd.dif,2022-12-02 18:15:13
BBG009HTFZR5,TICKER,POSADA,corp_pfd.dif,2022-12-02 18:15:13
